order_date,region,parcel_volume
2023-09-04,ID,948
2022-03-01,TH,295
2022-11-20,MY,508
2022-04-15,VN,245
2024-06-21,SG,445
2024-09-06,VN,379
2023-12-15,VN,254
2024-12-03,MY,612
2024-08-01,SG,433
2022-07-15,SG,386
2023-06-29,ID,794
2023-02-10,MY,474
2023-04-26,VN,304
2022-11-03,SG,438
2024-01-08,SG,402
2024-04-14,VN,352
2022-05-10,MY,824
2023-12-31,SG,403
2022-05-13,VN,256
2023-01-29,ID,719
2023-06-15,VN,289
2023-05-27,ID,879
2022-04-17,SG,393
2023-10-10,MY,2014
2023-06-11,SG,472
2024-03-24,PH,571
2022-08-28,MY,569
2024-11-04,VN,450
2024-04-01,TH,403
2024-12-26,ID,860
2024-04-13,SG,420
2022-04-21,SG,356
2023-09-03,VN,348
2024-10-11,TH,382
2023-03-07,VN,246
2022-11-21,ID,765
2024-09-29,ID,1003
2024-01-14,MY,543
2022-10-22,SG,649
2023-08-28,ID,890
2022-09-16,MY,469
2024-03-28,PH,474
2022-09-24,MY,517
2023-05-23,VN,332
2022-07-07,VN,289
2024-12-14,VN,262
2024-04-29,VN,350
2024-01-06,MY,527
2024-09-30,SG,476
2024-11-07,TH,614
2022-02-08,PH,394
2024-08-17,SG,457
2022-09-21,ID,756
2022-09-05,ID,1001
2023-12-02,SG,334
2022-03-19,PH,429
2023-04-11,ID,1381
2023-07-22,SG,424
2023-04-10,PH,514
2023-11-13,ID,849
2022-02-06,VN,27
2024-01-04,SG,338
2023-07-24,TH,420
2022-01-24,VN,611
2023-12-05,SG,400
2023-10-14,SG,391
2024-11-26,SG,449
2022-04-07,ID,689
2024-12-10,TH,634
2022-05-13,ID,672
2023-12-17,SG,386
2024-03-22,ID,798
2024-03-22,TH,324
2024-10-23,SG,412
2024-10-19,MY,586
2022-10-03,MY,601
2024-03-09,MY,578
2022-10-16,TH,371
2022-12-23,VN,231
2023-05-07,ID,910
2023-06-19,ID,903
2024-08-15,ID,893
2024-04-04,PH,470
2023-04-15,ID,1720
2024-07-16,SG,443
2023-08-02,PH,507
2024-11-27,MY,541
2024-08-27,VN,360
2022-08-12,VN,274
2022-08-21,PH,491
2023-12-24,TH,324
2023-01-17,MY,966
2024-05-23,SG,434
2022-02-01,ID,663
2023-06-07,MY,554
2023-09-06,PH,699
2024-05-08,MY,593
2023-09-25,MY,588
2022-10-29,MY,491
2024-08-10,PH,605
2024-01-24,VN,344
2022-02-07,SG,476
2022-05-05,SG,315
2023-09-18,ID,883
2022-11-27,MY,495
2023-11-10,TH,738
2022-03-02,SG,288
2022-05-05,PH,359
2023-05-31,TH,375
2024-06-04,VN,363
2023-05-04,TH,336
2022-12-04,PH,639
2022-08-23,MY,568
2024-11-05,VN,452
2023-05-08,VN,323
2022-01-24,ID,737
2024-03-08,VN,305
2022-05-09,VN,331
2022-09-30,TH,278
2024-12-08,TH,519
2024-07-26,SG,417
2022-05-19,PH,444
2023-02-08,MY,465
2024-11-03,PH,798
2023-06-20,ID,914
2022-08-11,SG,336
2024-01-07,TH,352
2022-08-29,SG,408
2024-09-26,MY,579
2023-12-27,VN,236
2022-08-25,PH,454
2022-11-23,TH,301
2023-10-26,SG,356
2024-10-04,TH,348
2024-12-23,MY,598
2023-05-07,SG,418
2022-07-19,PH,492
2023-10-21,PH,472
2023-06-04,PH,573
2024-12-20,ID,820
2024-07-30,PH,615
2024-09-25,VN,300
2024-05-15,MY,593
2022-08-08,MY,599
2022-01-31,TH,317
2022-06-03,PH,542
2022-09-06,VN,446
2022-08-02,PH,529
2024-02-07,TH,347
2022-07-14,PH,519
2023-09-26,VN,305
2022-11-22,TH,315
2022-08-22,ID,886
2023-11-02,TH,377
2022-09-08,TH,521
2022-06-12,VN,301
2023-10-17,TH,367
2023-08-03,SG,372
2022-02-11,VN,352
2024-10-28,MY,954
2022-05-31,PH,507
2023-06-21,VN,289
2023-10-04,MY,546
2022-09-18,VN,290
2024-02-27,MY,588
2024-12-15,ID,911
2022-10-13,SG,341
2023-11-20,VN,311
2022-05-07,SG,409
2022-03-22,ID,717
2023-09-22,SG,369
2022-11-04,TH,406
2023-09-17,PH,535
2022-12-25,MY,465
2024-07-26,TH,382
2022-08-13,TH,337
2023-04-14,ID,1571
2022-04-22,VN,232
2022-02-18,MY,381
2023-02-06,ID,801
2023-01-17,ID,751
2024-06-30,TH,427
2022-03-15,PH,404
2024-06-27,SG,426
2022-01-13,MY,384
2022-11-29,TH,302
2024-04-22,ID,941
2024-10-31,SG,245
2024-03-01,MY,591
2022-08-28,ID,817
2023-09-21,TH,299
2023-07-22,TH,383
2022-08-20,VN,276
2024-11-06,PH,947
2023-05-08,SG,449
2022-06-03,SG,318
2024-09-07,SG,642
2024-01-04,VN,265
2024-09-18,PH,574
2024-10-25,TH,312
2024-01-19,MY,504
2022-12-16,VN,237
2024-06-01,TH,408
2024-09-09,ID,2999
2024-06-04,SG,434
2022-12-05,PH,700
2023-11-19,SG,395
2024-12-17,VN,334
2022-01-10,PH,424
2023-01-20,SG,726
2024-07-24,SG,438
2024-09-01,SG,479
2023-06-09,SG,415
2023-05-09,VN,330
2022-01-30,PH,455
2023-07-19,PH,538
2022-09-21,TH,337
2022-12-01,ID,666
2023-08-13,SG,460
2023-07-11,MY,579
2024-11-05,PH,875
