parcel_id,parcel_value,prior_claims,account_age_days,claim_lag_days,fraud_flag
1,74.13,1,1260,13,0
2,19.7,0,1356,25,0
3,32.31,0,1628,15,0
4,30.45,0,1676,16,0
5,42.72,0,937,11,0
6,27.24,0,152,25,0
7,96.44,0,1601,26,0
8,15.66,1,947,28,0
9,34.05,0,435,15,0
10,46.63,1,1331,13,0
11,45.3,0,132,19,0
12,71.51,0,1236,17,0
13,20.18,0,874,7,0
14,53.56,0,134,28,0
15,12.15,1,456,9,0
16,45.23,1,1371,7,0
17,26.18,0,1244,24,0
18,350.99,6,12,6,1
19,135.46,1,1558,14,0
20,34.07,0,956,9,0
21,20.46,8,195,2,1
22,84.14,0,687,29,0
23,111.68,0,1377,23,0
24,50.6,1,1645,22,0
25,43.97,0,1648,11,0
26,202.92,5,3,3,1
27,27.42,0,448,20,0
28,107.48,1,197,5,0
29,44.99,1,1738,16,0
30,5.0,0,1351,11,0
31,28.43,0,1483,23,0
32,8.01,0,1342,18,0
33,45.19,1,1049,13,0
34,65.06,0,743,10,0
35,17.81,0,939,18,0
36,48.93,0,715,11,0
37,14.97,0,572,10,0
38,43.52,0,984,25,0
39,129.11,1,667,6,0
40,43.43,1,926,16,0
41,72.96,0,230,13,0
42,81.71,0,1399,22,0
43,66.61,2,1656,22,0
44,6.7,2,1409,13,0
45,20.97,0,1527,7,0
46,55.73,1,1601,22,0
47,11.0,0,1146,24,0
48,172.62,0,1000,27,0
49,12.92,0,365,22,0
50,44.5,0,1183,27,0
51,68.65,1,1365,21,0
52,59.12,1,1421,19,0
53,19.26,1,1009,17,0
54,95.24,1,613,6,0
55,12.38,1,1491,16,0
56,53.23,0,1781,8,0
57,31.26,0,274,9,0
58,227.42,0,24,4,1
59,22.43,1,397,25,0
60,48.22,1,328,23,0
61,54.08,0,1531,7,0
62,28.62,0,1741,15,0
63,16.19,1,452,29,0
64,25.25,0,1706,5,0
65,143.88,1,1434,7,0
66,14.07,0,1163,12,0
67,36.27,0,1701,18,0
68,44.33,5,145,0,1
69,66.13,0,1057,10,0
70,11.5,0,1250,21,0
71,16.91,1,546,13,0
72,34.16,0,1576,25,0
73,59.18,2,974,8,0
74,19.5,1,639,17,0
75,41.32,2,1631,28,0
76,28.32,2,1688,7,0
77,30.42,0,1589,13,0
78,13.89,1,1152,15,0
79,46.3,2,988,27,0
80,33.51,2,1747,8,0
81,47.54,0,92,28,0
82,48.52,0,254,20,0
83,29.75,1,1165,23,0
84,33.39,0,564,29,0
85,86.87,1,509,26,0
86,44.61,1,1174,13,0
87,50.04,0,1446,15,0
88,6.83,0,714,7,0
89,13.54,2,276,18,0
90,88.53,2,1478,25,0
91,18.24,0,961,22,0
92,60.13,2,1013,26,0
93,29.02,1,1522,22,0
94,37.33,0,1562,29,0
95,20.36,0,571,11,0
96,34.26,0,806,16,0
97,66.76,1,1393,11,0
98,32.9,0,554,13,0
99,28.31,1,891,24,0
100,77.48,1,807,5,0
101,43.49,0,1129,22,0
102,67.14,0,353,27,0
103,38.33,2,1326,13,0
104,35.86,0,625,28,0
105,31.57,0,388,17,0
106,89.82,1,1073,19,0
107,102.52,1,552,24,0
108,54.79,1,724,20,0
109,48.24,0,1777,19,0
110,108.16,0,789,19,0
111,39.39,0,1306,5,0
112,108.22,0,1372,14,0
113,198.55,0,966,25,0
114,27.42,0,1536,7,0
115,21.61,0,778,7,0
116,34.77,0,1447,17,0
117,24.95,0,273,22,0
118,7.95,0,1136,19,0
119,63.4,1,328,20,0
120,29.2,0,1028,9,0
121,9.48,1,1355,29,0
122,87.15,2,518,5,0
123,32.53,0,426,28,0
124,46.99,2,1656,25,0
125,34.88,0,1131,26,0
126,44.2,1,608,19,0
127,22.3,1,786,19,0
128,65.92,0,1399,9,0
129,40.38,0,574,18,0
130,16.11,1,678,15,0
131,35.97,0,189,14,0
132,57.4,1,275,17,0
133,9.5,0,1427,5,0
134,14.96,1,624,8,0
135,9.11,1,100,19,0
136,28.01,1,1054,18,0
137,11.49,1,600,21,0
138,9.83,2,823,8,0
139,67.79,2,711,5,0
140,111.71,1,273,19,0
141,27.34,1,1086,23,0
142,9.58,0,148,14,0
143,16.34,0,225,14,0
144,17.27,1,249,20,0
145,10.94,1,545,14,0
146,27.4,0,1196,8,0
147,12.68,2,219,11,0
148,105.22,0,561,11,0
149,18.43,0,1715,21,0
150,12.38,0,525,21,0
151,51.22,0,1210,11,0
152,60.7,0,1421,8,0
153,38.35,0,653,15,0
154,101.15,1,1305,16,0
155,18.13,0,95,9,0
156,12.64,0,1676,15,0
157,58.58,1,1294,8,0
158,23.92,1,622,15,0
159,25.47,0,107,21,0
160,26.4,0,883,8,0
161,46.74,0,1485,10,0
162,51.03,0,226,6,0
163,17.45,0,178,10,0
164,37.58,1,201,5,0
165,32.27,1,1677,23,0
166,15.49,0,1145,25,0
167,389.49,0,19,4,1
168,52.81,0,280,20,0
169,109.86,1,916,12,0
170,11.83,2,1232,23,0
171,94.81,1,1734,12,0
172,20.72,0,897,15,0
173,109.56,0,1130,24,0
174,20.12,2,422,16,0
175,29.31,2,1536,25,0
176,31.53,0,289,23,0
177,107.01,0,1799,17,0
178,73.95,0,1427,24,0
179,18.19,1,1485,7,0
180,121.46,1,687,28,0
181,17.36,0,1466,22,0
182,14.69,0,514,18,0
183,33.66,1,555,23,0
184,19.9,0,1566,28,0
185,32.96,1,1594,22,0
186,21.54,0,153,18,0
187,33.98,0,1483,23,0
188,84.47,0,1379,10,0
189,21.36,1,317,24,0
190,32.8,1,1618,12,0
191,54.9,1,1734,28,0
192,116.78,0,325,10,0
193,28.58,0,567,22,0
194,12.69,1,1697,27,0
195,18.42,0,1014,19,0
196,63.26,0,1137,16,0
197,35.8,1,131,26,0
198,31.78,1,1044,21,0
199,26.41,2,905,26,0
200,22.63,1,256,19,0
201,20.49,0,967,11,0
202,29.29,0,612,11,0
203,11.02,0,1046,22,0
204,22.61,1,832,28,0
205,25.86,2,1411,16,0
206,46.72,0,998,11,0
207,10.71,0,1692,5,0
208,67.91,0,1717,19,0
209,12.43,0,295,16,0
210,47.05,0,1308,20,0
211,110.82,0,1196,27,0
212,67.93,0,1251,14,0
213,20.9,1,614,25,0
