vehicle_id,vehicle_health_score,engine_temp_c,tyre_pressure_kpa,vibration_g,km_since_service,at_risk
224,76.43,110.4,238.8,0.408,2866,0
298,77.65,109.8,245.5,0.303,2997,0
263,99.12,86.9,251.6,0.129,723,0
235,76.45,110.3,244.2,0.375,2068,0
262,75.28,110.6,237.9,0.348,3039,0
269,91.46,95.4,232.3,0.163,1913,0
268,65.99,117.1,233.6,0.415,3503,0
286,22.34,157.8,203.8,0.857,6706,1
266,80.84,106.4,240.2,0.276,2396,0
202,72.96,116.8,241.8,0.327,3207,0
237,30.45,145.0,225.1,0.864,6909,1
290,80.69,105.7,233.4,0.279,2543,0
220,86.88,98.7,243.9,0.204,2290,0
249,73.21,113.0,237.9,0.345,2737,0
250,68.2,118.1,235.3,0.405,3591,0
255,48.95,128.7,224.8,0.547,5206,1
286,28.91,152.8,216.8,0.995,6502,1
253,76.38,118.7,236.9,0.407,3078,0
200,89.21,99.9,245.4,0.285,1204,0
224,82.42,101.5,245.2,0.243,2309,0
263,55.01,127.1,223.6,0.502,4311,1
278,86.64,100.1,241.6,0.203,1471,0
264,66.1,116.1,233.5,0.437,3018,0
273,73.41,115.5,234.3,0.369,2269,0
224,73.89,104.9,232.3,0.372,2488,0
209,83.1,105.5,236.6,0.286,2299,0
294,76.97,114.7,239.6,0.29,2522,0
256,56.45,131.9,236.8,0.498,4619,1
273,85.89,106.1,247.1,0.295,2363,0
295,55.29,125.4,222.2,0.49,3983,1
218,78.97,113.7,250.2,0.308,2203,0
287,82.09,106.7,239.6,0.303,1770,0
236,42.0,145.0,230.1,0.666,5633,1
262,74.77,115.8,238.2,0.311,3064,0
238,75.18,112.4,240.4,0.331,2366,0
219,85.59,101.3,242.4,0.241,2184,0
287,82.56,114.3,241.1,0.249,1529,0
234,76.7,102.7,248.0,0.32,2758,0
202,51.7,130.4,224.9,0.519,5122,1
215,60.32,118.1,236.3,0.44,4474,0
296,32.9,147.5,215.9,0.755,6130,1
282,60.0,125.4,229.8,0.442,3529,0
266,84.22,100.8,247.6,0.235,1943,0
277,80.38,104.4,241.0,0.269,2227,0
264,77.34,104.0,235.3,0.364,2676,0
291,43.62,139.7,216.9,0.611,5489,1
209,73.37,110.8,241.3,0.337,2502,0
206,86.53,103.1,231.8,0.212,1200,0
269,66.86,116.1,236.5,0.384,3981,0
296,47.92,135.3,215.2,0.617,4922,1
258,73.22,115.7,238.8,0.356,2966,0
296,75.73,112.5,247.2,0.329,2107,0
240,76.0,111.2,234.0,0.328,2249,0
267,78.35,108.0,243.7,0.315,2431,0
250,85.02,104.6,251.0,0.235,1817,0
288,79.64,104.9,237.8,0.393,2027,0
264,89.33,98.3,242.7,0.328,1870,0
243,90.45,99.5,249.5,0.247,1900,0
224,33.88,152.3,223.6,0.725,5969,1
231,58.32,123.0,243.3,0.463,4372,1
207,44.62,133.5,217.6,0.617,4900,1
215,44.88,138.0,226.1,0.585,4810,1
250,90.76,102.7,244.5,0.376,1000,0
203,38.31,145.7,211.8,0.657,5422,1
247,51.39,131.4,224.4,0.533,4718,1
204,99.04,95.7,250.6,0.104,333,0
216,97.74,84.7,251.8,0.158,500,0
269,76.63,113.9,242.2,0.324,2254,0
202,77.4,108.0,241.5,0.301,2692,0
233,85.31,105.0,251.7,0.226,2355,0
219,52.64,134.3,237.7,0.514,4358,1
205,100.0,90.8,252.6,0.162,293,0
220,87.89,100.6,242.9,0.316,1178,0
211,80.47,105.0,240.6,0.265,2842,0
208,65.0,126.5,231.9,0.425,3964,0
266,82.52,106.2,239.3,0.242,1924,0
212,68.14,118.0,226.0,0.378,2734,0
293,87.6,106.6,237.6,0.199,1689,0
248,60.0,122.0,234.6,0.507,3633,0
240,93.84,94.2,253.6,0.15,541,0
287,43.76,141.5,223.5,0.635,5251,1
277,63.08,128.5,230.7,0.463,3932,0
242,79.84,107.3,238.4,0.292,2656,0
297,18.19,161.1,199.3,0.82,7264,1
253,54.63,122.2,223.6,0.51,4437,1
270,93.8,100.4,244.7,0.151,1401,0
296,83.81,99.4,235.1,0.235,2564,0
272,87.96,98.1,247.2,0.232,2129,0
259,77.51,109.9,235.7,0.348,2288,0
261,38.48,139.7,218.9,0.685,5724,1
265,66.92,110.4,225.4,0.401,3926,0
297,48.37,128.9,227.6,0.567,5065,1
270,72.42,113.8,239.9,0.342,2358,0
229,93.2,101.8,245.7,0.153,1438,0
202,80.76,112.0,250.2,0.281,2192,0
278,86.63,102.9,244.7,0.246,2049,0
248,82.62,105.4,243.8,0.263,2574,0
241,35.74,147.8,207.8,0.719,5907,1
293,56.84,132.0,224.1,0.47,4226,1
215,45.95,136.4,218.9,0.581,5122,1
203,70.4,115.8,240.9,0.446,2979,0
273,60.0,124.8,236.3,0.467,3980,0
292,69.75,119.8,232.4,0.363,3317,0
282,91.72,91.6,249.0,0.157,714,0
287,79.7,107.3,246.5,0.32,2766,0
286,77.8,110.5,238.3,0.281,2932,0
268,52.06,123.2,217.4,0.526,4297,1
292,81.15,109.7,246.4,0.265,1745,0
234,86.13,106.1,247.4,0.259,2028,0
274,83.23,96.5,245.0,0.281,2568,0
209,85.43,100.7,250.2,0.224,1417,0
252,75.5,109.3,245.3,0.39,3067,0
229,90.47,94.5,251.0,0.175,1950,0
293,67.88,114.3,227.8,0.41,3714,0
243,79.14,105.6,232.0,0.317,2433,0
220,90.97,100.1,249.6,0.25,1874,0
256,78.46,113.3,241.0,0.29,1846,0
207,75.69,112.9,240.0,0.337,3101,0
212,54.67,124.9,237.7,0.511,4684,1
243,94.19,98.1,254.8,0.138,962,0
263,81.42,108.2,241.2,0.251,2612,0
258,70.3,103.5,231.7,0.382,3410,0
205,60.0,129.0,234.4,0.453,4355,0
267,87.09,101.5,248.2,0.198,1440,0
205,92.66,96.9,247.2,0.217,1314,0
281,56.08,120.4,211.9,0.503,4163,1
203,62.89,128.0,226.3,0.469,3941,0
202,81.6,107.0,247.5,0.274,2452,0
251,75.13,114.2,231.1,0.369,2890,0
280,81.62,100.3,245.9,0.27,2617,0
276,99.43,92.5,254.9,0.133,202,0
260,87.89,102.4,239.9,0.196,1692,0
217,53.42,129.0,232.3,0.505,4603,1
295,42.83,133.4,220.6,0.6,5758,1
202,84.14,103.2,242.9,0.286,1928,0
234,72.77,109.3,230.6,0.392,2619,0
275,19.7,155.5,216.1,0.821,7130,1
261,78.07,113.3,233.3,0.279,2266,0
279,71.78,114.3,229.8,0.389,2897,0
276,88.15,99.7,246.8,0.218,1829,0
293,60.0,119.3,224.6,0.485,3904,0
251,74.55,111.4,250.9,0.4,2427,0
282,86.13,101.2,238.9,0.241,1342,0
215,92.25,92.7,253.0,0.159,1504,0
217,84.72,107.3,254.0,0.249,1433,0
204,73.28,116.9,242.1,0.373,2627,0
220,47.73,131.3,219.2,0.596,4698,1
211,82.91,106.1,245.2,0.335,1554,0
282,95.61,86.3,258.2,0.133,1435,0
249,44.04,138.8,212.7,0.592,4843,1
244,89.28,102.2,253.2,0.197,1195,0
263,80.65,102.0,244.8,0.26,1849,0
235,69.29,116.2,246.9,0.372,3634,0
257,35.89,145.0,219.8,0.691,6524,1
200,76.99,121.1,240.8,0.293,2621,0
