parcel_id,order_date,region,driver_id,vehicle_id,parcel_value,parcel_volume,vehicle_health_score,fraud_flag,is_delayed,delivery_date
1,2024-04-12,ID,1086,243,55.74,61,55.844725452941674,0,0,2024-04-15
2,2024-06-28,MY,1088,210,32.08,49,70.97319599455415,0,0,2024-06-29
3,2024-04-02,MY,1026,210,11.25,64,67.3799566640264,0,0,2024-04-03
4,2024-01-15,ID,1000,221,109.75,65,93.03935947663099,0,1,2024-01-17
5,2024-04-16,MY,1084,284,56.64,49,71.02810054490823,0,0,2024-04-17
6,2024-03-12,ID,1058,290,9.26,58,100.0,0,0,2024-03-15
7,2024-01-21,SG,1009,281,61.01,56,77.74217304037384,0,0,2024-01-24
8,2024-04-12,TH,1094,261,67.63,61,69.04726663409652,0,0,2024-04-15
9,2024-05-01,TH,1024,247,108.97,59,58.49453808273144,0,0,2024-05-05
10,2024-03-15,PH,1083,293,12.61,63,84.98739915177964,0,0,2024-03-16
11,2024-03-28,VN,1056,262,224.39,51,64.39473784794848,1,0,2024-03-31
12,2024-04-26,MY,1065,250,8.33,54,47.972598934568076,0,0,2024-04-30
13,2024-04-09,VN,1014,244,45.9,55,79.61115798573434,0,0,2024-04-13
14,2024-04-13,SG,1027,232,53.53,64,93.20579382583986,0,0,2024-04-15
15,2024-05-31,TH,1012,284,27.15,62,65.65240064414368,0,0,2024-06-03
16,2024-05-10,SG,1013,259,32.22,59,87.87995509804439,0,0,2024-05-11
17,2024-05-29,SG,1065,201,110.78,46,82.2849786021028,0,0,2024-05-30
18,2024-02-22,MY,1033,212,51.82,51,56.14994587446271,0,0,2024-02-24
19,2024-01-02,SG,1098,265,34.36,53,41.846510869349785,0,0,2024-01-06
20,2024-03-28,TH,1024,256,6.87,51,85.01035174512228,0,0,2024-03-31
21,2024-06-06,VN,1053,242,0.37,58,81.0612961002312,0,0,2024-06-08
22,2024-02-07,TH,1078,244,6.67,54,76.5980344361323,0,0,2024-02-08
23,2024-05-09,MY,1011,230,156.39,67,78.2171208028814,0,1,2024-05-14
24,2024-01-21,TH,1008,209,72.21,56,41.00061229281948,0,0,2024-01-25
25,2024-06-09,ID,1030,222,170.74,67,77.9585174453168,0,1,2024-06-13
26,2024-02-27,VN,1077,285,1.82,66,75.81627871789193,0,1,2024-03-02
27,2024-01-22,ID,1092,228,57.01,63,45.757337902377614,0,0,2024-01-25
28,2024-03-29,ID,1052,296,2.27,55,61.349855326910486,0,0,2024-03-31
29,2024-02-18,PH,1042,230,76.18,65,55.21151150576133,0,1,2024-02-20
30,2024-02-28,MY,1037,277,23.98,58,83.59169309533587,0,0,2024-03-02
31,2024-06-18,SG,1041,273,5.03,58,77.95269524763604,0,0,2024-06-20
32,2024-01-15,ID,1071,217,41.97,65,85.59577536518441,0,1,2024-01-18
33,2024-06-23,TH,1047,210,16.43,55,57.98107680946276,0,0,2024-06-26
34,2024-02-20,SG,1066,246,53.88,52,51.621351883248344,0,0,2024-02-22
35,2024-04-17,TH,1065,202,53.67,63,78.99661553772269,0,0,2024-04-18
36,2024-02-24,TH,1015,201,61.04,52,75.46361984356415,0,0,2024-02-27
37,2024-03-04,SG,1082,253,244.41,51,74.80735097557987,1,0,2024-03-06
38,2024-05-10,SG,1093,271,24.44,59,93.20835989917263,0,0,2024-05-12
39,2024-02-20,TH,1015,230,31.3,52,80.1073311663948,0,0,2024-02-23
40,2024-05-14,MY,1030,207,81.64,43,58.401006778545984,0,0,2024-05-16
41,2024-01-21,VN,1057,242,43.18,56,83.1312775666764,0,0,2024-01-22
42,2024-03-13,PH,1027,247,1.9,52,68.60527206692518,0,0,2024-03-15
43,2024-06-15,VN,1003,201,92.6,49,89.62028461696235,0,0,2024-06-19
44,2024-01-18,MY,1009,221,2.64,42,72.16001366693303,0,0,2024-01-19
45,2024-05-11,PH,1050,204,9.37,56,78.44981731879011,0,0,2024-05-14
46,2024-03-29,SG,1017,206,5.38,55,88.32507225675651,0,0,2024-04-01
47,2024-02-29,PH,1046,219,4.06,42,58.14420855767332,0,0,2024-03-02
48,2024-01-14,TH,1031,291,1.3,57,57.30058958198472,0,0,2024-01-18
49,2024-01-09,VN,1029,276,2.83,47,84.54308068353963,0,0,2024-01-10
50,2024-03-30,PH,1035,201,29.21,64,73.24275196290591,0,0,2024-04-01
51,2024-02-22,TH,1008,231,14.57,51,69.33521975391326,0,0,2024-02-23
52,2024-05-09,MY,1035,289,6.76,67,97.22142680691775,0,1,2024-05-13
53,2024-03-24,PH,1028,202,53.75,71,90.95639089591049,0,1,2024-03-28
54,2024-04-01,TH,1015,240,12.82,52,50.70573345449829,0,0,2024-04-05
55,2024-04-20,MY,1091,241,0.96,61,85.97690344753856,0,0,2024-04-23
56,2024-06-20,SG,1020,276,27.1,56,51.12725337622456,0,0,2024-06-24
57,2024-01-08,MY,1063,284,18.58,67,90.18120511574996,0,1,2024-01-12
58,2024-06-23,MY,1065,244,19.18,55,60.11758334289396,0,0,2024-06-24
59,2024-02-04,VN,1058,286,29.46,57,74.66954661265503,0,0,2024-02-05
60,2024-03-21,TH,1098,270,55.27,56,72.5614940373155,0,0,2024-03-23
61,2024-06-12,PH,1027,216,47.92,68,42.160961296990536,0,1,2024-06-15
62,2024-02-19,VN,1054,291,138.44,40,88.81279951478022,0,0,2024-02-21
63,2024-04-13,ID,1099,246,36.46,64,61.07802705608394,0,0,2024-04-15
64,2024-05-11,MY,1030,293,31.99,56,61.69765504663267,0,0,2024-05-13
65,2024-01-02,ID,1032,268,12.0,53,19.681399162504334,0,1,2024-01-05
66,2024-05-13,VN,1086,223,70.4,58,86.15696230347828,0,0,2024-05-17
67,2024-02-23,TH,1059,270,7.59,65,79.38977190255156,0,1,2024-02-28
